"Priority
Rank",Field #,Field Name,Business Name,Business Definition,"Valid Values 
(Note:  The values provided are examples only and may not be a complete list of values)","Field
Type",Length,"Start 
Pos","End 
Pos","Digits if 
numeric","Decimals if 
numeric",NCPDP D.0 Field #,NCPDP D.0 Field Name,NCPDP D.0 Field Description
3,481,AMNHHY,Plan Paid Amount Initial Coverage,The dollar amount of this claim's drug spend paid by the plan during the Initial Coverage Phase in a Medicare Part D plan. ,,S,9,4114,4122,9,2,,,
2,482,AMOJHY,Member Amount Toward  Medicare Part D Deductible,The dollar amount of this claim during the Deductible phase that applied to True Out Of Pocket (TrOOP) in a Medicare Part D plan. ,,S,9,4123,4131,9,2,,,
2,483,AMOKHY,Member Amount Toward Medicare Part D Coverage Gap,The dollar amount of this claim during the Coverage Gap phase that applied to True Out Of Pocket (TrOOP) in a Medicare Part D plan. ,,S,9,4132,4140,9,2,,,
2,484,AMOLHY,Member Amount Toward Medicare Part D Catastrophic ,"The dollar amount of this claim paid by the member, LICS and/or another qualified TrOOP payer during the Catastrophic phase in a Medicare Part D plan.   

Note:  Amounts paid in Catastrophic do not count toward TrOOP, because TrOOP has been met at the TrOOP threshold and no longer accumulates.",,S,9,4141,4149,9,2,,,
4,485,AMWXHE,Plan TrOOP Schedule Code,"The code that defines which Medicare Part D TrOOP schedule determines the thresholds of drug spend and/or TrOOP for the Medicare Part D benefit phases. 
",Values are Prime-defined and used in Prime's claim processing system. ,A,10,4150,4159,0,0,,,
2,486,AMOMHY,Member Amount Toward Medicare Part D Initial Coverage,The dollar amount of this claim during the Initial Coverage phase that applied to True Out Of Pocket (TrOOP) in a Medicare Part D plan. ,,S,9,4160,4168,9,2,,,
1,487,AMNBIA,Catastrophic Coverage Code,The code that indicates whether the claim was paid within the Medicare Part D Catastrophic Phase. ,"Blank = Below TrOOP Threshold, not yet in Catastrophic phase or Not applicable (for non-Covered Drugs)
A = Reached TrOOP Threshold, Catastrophic coverage begins on this claim 
C = Reached Catastrophic coverage",A,1,4169,4169,0,0,,,
1,488,AMNMHY,Gross Drug Cost Above Out of Pocket Threshold (GDCA),The amount of drug costs that fall above the out of pocket (TrOOP) threshold for Medicare Part D Plans for covered drugs as reported on the Prescription Drug Event (PDE). ,"For non-covered drugs, GDCA must be populated with a zero dollar amount ($0.00). GDCA only tracks the cost of covered drugs to note their location and indicate the beneficiary’s status with respect to the True Out Of Pocket (TrOOP) threshold.",S,9,4170,4178,9,2,,,
1,489,AMNNHY,Gross Drug Cost Below Out of Pocket Threshold (GDCB),The amount of drug costs that fall below the out of pocket (TrOOP) threshold for Medicare Part D Plans for covered drugs as reported on the Prescription Drug Event (PDE).,"For non-covered drugs, GDCB must be populated with a zero dollar amount ($0.00). GDCB only tracks the cost of covered drugs to note their location and indicate the beneficiary’s status with respect to the True Out Of Pocket (TrOOP) threshold.",S,9,4179,4187,9,2,,,
3,490,AMNOHY,Non-Covered Plan Paid (NPP) Amount,"The net amount the Medicare Part D plan paid for benefits beyond the standard/basic benefit. This dollar amount should include non-Part D drugs, OTC drugs, Enhanced Alternative (EA) drugs, and EA cost-sharing.",,S,9,4188,4196,9,2,,,
1,491,AMNPHY,Drug Spend Amount - Medicare Part D,"The dollar amount of this claim that counts toward Medicare Part D drug spend.  

    Approved Ingredient Cost PHRINGRCST (#258) 
+ Approved Dispensing Fee PHRDISPFEE (#259)
+ Approved Sales Tax PHRSLSTAX (#262)
+ Approved Professional Service Fee PHRINCENTV (#278)
____________________________________________________
= Medicare Part D Drug Spend Amount

",,S,9,4197,4205,9,2,,,
5,492,FILLER1,Filler,Not currently used. ,,A,77,4206,4282,,,,,
4,493,E_AONZIA,Pharmacy Dispenser Type (secondary),"The qualifier that further describes the pharmacy that dispensed the drug. 

Note:  This field is an extension of DISPROTHER field (#150).",See the Dispenser Type tab.,A,3,4283,4285,0,0,,,
4,494,E_AON0IA,Pharmacy Dispenser Type (tertiary),"The qualifier that further describes the pharmacy that dispensed the drug. 

Note:  This field is an extension of DISPROTHER field (#150).",See the Dispenser Type tab.,A,3,4286,4288,0,0,,,
4,495,"SRVPROVNME
(E_AOB8TX)",Pharmacy Name,The name of the pharmacy that dispensed the prescription(s)  as listed on the National Council for Prescription Drug Programs (NCPDP) files.,,A,60,4289,4348,0,0,,,
1,496,RXNUMBER12,Submitted Prescription Number (12 characters),"The prescription number assigned to the submitted claim.  This is the reference number assigned by the provider for the dispensed drug or product and/or service provided. 

Note:  This field displays the entire prescription number that is partially displayed in the RXNUMBER field (#75).  The RXNUMBER field only displays the first 9 characters.","12 characters of the prescription number 

Note:  If the prescription number is less than 12 characters, the value is zero-filled from the left. 

",A,12,4349,4360,0,0,402-D2,Prescription/ Service Reference Number,Reference number assigned by the provider for the dispensed drug/product and/or service provided.
4,497,PHRPTPST13,Pharmacy Member Pay Schedule Table (13 characters) - Approved ,"The code that identifies the patient/member pay table used during claim processing to calculate the patient/member pay dollar amount.  

Note:  This field displays the entire Pharmacy Approved Patient Pay Schedule Table code that is partially displayed in PHRPTPST field (#269).  The PHRPTPST field only displays the first 10 characters. ","Up to 13 characters of the Pharmacy Approved Patient Pay Schedule Table code.

Values are Prime-defined and used in Prime's claim processing system. ",A,13,4361,4373,0,0,,,
4,498,CLTPTPST13,Member Pay Schedule Table Used (13 characters) - Client ,"The code that identifies the final member pay table used during the rebilling of the claim to calculate the patient/member pay dollar amount.  

Note:  This field displays the entire Client Patient Pay Schedule Table code that is partially displayed in CLTPTPST field (#315).  The CLTPTPST field only displays the first 10 characters. ","Up to 13 characters of the Client Patient Pay Schedule Table code.

Values are Prime-defined and used in Prime's claim processing system. ",A,13,4374,4386,0,0,,,
4,499,AKFIHS,Reprocess Claim Sequence Nbr,Reprocess Claim Sequence number will start at 999 and reduce in number with every trial claim created.  Reprocess claim sequence number will not reset to 999.,Claims start at 999 and reduce in number. ,N,3,4387,4389,3,0,,,
4,500,AKD9HS,Adjustment Sequence Nbr,"Adjustment claim sequence logic: 
1. The Adjustment claim sequence starts from 999 for the unique Claim Status of Paid (Rx#, Claim status =P and unique Claim sequence number 999).  
2. There can be many  claim adjustments made to this unique (Rx#, Claim status =P and unique Claim sequence number 999),   Adjustment claim sequence numbers start from 999, 998, 997, etc.   
3. When a new unique Claim Status of P and new claim sequence number occurs ( (Rx#, Claim status=P and Claim sequence number 998), the adjustment sequence number resets to start at 999.   ",Claims start at 999 and reduce in number. ,N,3,4390,4392,3,0,,,
4,501,AKLEB0,Original Adjustment Sequence,"Original Adjustment Sequence number - 999
This field will only be populated for manual PD7 adjustments (Claim Status Code = J)",Claims start at 999 and reduce in number  as appropriate,N,3,4393,4395,3,0,,,
2,502,SCACLMNBR,SCA Claim Number,"A claim number is created for Synchronized claim adjudication (SCA) and is a process to handle co-administered benefits when a Medicare Part D benefit and Other Health Insurance (OHI) are combined in a single benefit (like EGWP/Employer Group Waiver Plan). 

If the RxCLAIM number in field #2 is associated with the Medicare D claim, this field will be be populated with the Other Health Insurance (OHI) claim number (SCA). Conversely, if the RxCLAIM number in field #2 is associated with the OHI claim, this field will be populated with the Medicare D claim number.

Prime's system will process a simple Part D claim, and then create a second claim (OHI) to determine the Group's additional benefit.  The final Patient Pay and Total Amount Due will be returned to the pharmacy as if it was a single claim.
",,N,15,4396,4410,15,0,,,
2,503,SCASEQNBR,SCA Sequence Number,"The number assigned to this particular iteration of the claim, indicating the order in which it was processed.  The sequence begins at 999, then reduces by 1:  999, 998, 997, etc. 

Multiple sequence numbers can be assigned to the same RxCLAIM number if the pharmacy, fill date, refill code and Rx number are the same. This field will be populated on the Medicare D claim record with the sequence of the OHI claim. Conversely, this field will be populated on the OHI claim record with the sequence of the Medicare D claim following the same logic as the SCA Claim Number field above.


Note:  If a claim is reversed, the original claim and the reversal will have the same sequence number. 
",,N,3,4411,4413,3,0,,,
2,504,ADJRESN,Adjustment Reprocessing Reason Code,"The Reprocessing Reason Code is assigned to claims that are subject to the Reprocessing workflow through Prime's ""Reprocessing Tracking Mechanism,"" or RTM application. 
If multiple Reprocessing Reason Codes exist for a single claim, the first associated code found is returned in this field. 
Additionally, a 3-byte alpha character code applied in this field of ""ADT"" indicates that the claim was adjusted due to Pharmacy Audit.","Examples:
ADT = Pharmacy Audit
DFH = HIM Default
DFC = Commercial Default
BEN = Benefit Setup Error
ELG = Eligibility Setup Error
NET = Network Setup Error
MRB = Manually Resolving Trial Reprocessing Batch
SCR = Specialty Coupon Reprocessing
100 = Improper Cost Share
101 = Improper Assignment
102 = Retro Eligibility",A,3,4414,4416,3,0,,,
2,505,TRACKID,Tracking ID,"The ID associated with an issue which resulted in Reprocessing or Adjustment. This may be one of the following: an IMT (Issue Management Tracking) number, a Service Now (SN) Tracking ID, or a Pharmacy Audit batch number.

IMT numbers are used for reprocessing Medicare/Medicaid claims. SN tracking ID is used for reprocessing Commercial and HIM claims. Pharmacy Audit batch number can be used across all lines of business for all claims adjusted due to a single pharmacy audit.",,A,15,4417,4431,0,0,,,
3,506,FORMID,Formulary ID,The Formulary ID against which the claim processed. This ID is assigned in Formulary Workplace and stamped on the Benefit Plan used during adjudication of the claim.,"The FORMID will populate as ""0"" if:
1. The drug is not on the formulary attached to the plan (NON-FORMULARY PRODUCT message on claim)
2. The formulary ID is not listed on the plan in Edit 26, Option 5.
3. The formulary ID is not active on the plan at Edit 26, Option 5 at the time of the claim.
4. The claim is a multiple ingredient compound.
5. The claim processed under the SCA/OHI Carrier.
6. The claim rejects before Edit 26 (Preferred Formulary)",N,5,4432,4436,0,0,,,
5,507,FILLER2,Filler,Field is not currently used. ,,A,18,4437,4454,0,0,,,
2,508,CDRREDIND,Drug Cost Reduction Indicator,Value indicating when a Drug Cost Reduction program (also referred to as Patent Cliff) has been considered and has been/not been applied during claim processing. This benefit program  is when a generic is introduced after the brand patent has expired. Members may be allowed to continue to receive the brand drug for an allotted time but the claim calculation will be based on the cost of the generic available. ,"Blank = No drug cost reduction program was used during claim processing
Y = Yes, a drug cost reduction was applied during claim processing
N = No, a drug cost reduction was not applied during claim processing",A,1,4455,4455,0,0,,,
2,509,CDRALTCPHR,Alternative Drug Cost,"Cost of the drug that was used during claim processing when a Drug Cost Reduction (Patent Cliff program) has been applied
Format = 9999999.99",,S,9,4456,4464,9,2,,,
2,510,CDRPCTAPLD,Drug Cost Percentage Applied,"A predetermined percentage set up on the Drug Cost Reduction program that is used to calculate the Alternative Drug Cost
Format = 999.99",,S,5,4465,4469,5,2,,,
5,511.1,CCTRESERV6.1,Grace Fill Applied/Qualified Flag,Reserved for future use,,A,1,4470,4470,0,0,,,
5,511.2,CCTRESERV6.2,Grace Fill Diagnosis Program Status,Reserved for future use,,A,1,4471,4471,0,0,,,
5,511.3,CCTRESERV6.3,Newborn Coverage Indicator,"Indicates if the claim was processed during the newborn eligibility coverage dates, and referenced the cardholder's accumulator balances when calculating the Patient Pay.
If the Fill Date of the claim was outside the newborn coverage effective dates, then the claim was processed referencing the submitted member's accumulator balances when calculating the Patient Pay.","Blank = Claim processed without newborn coverage logic and calculated the Patient Pay by referencing the submitted member's accumulator balance.
Y = Claim processed using newborn coverage logic and calculated the Patient Pay by referencing the cardholder's accumulator balance.",A,1,4472,4472,0,0,,,
5,511.4,CCTRESERV6.4,FlexAccess Claim Designation Flag,Indicates whether a claim adjudicated through FlexAccess program.  ,"Y – FlexAccess available and utilized.
N – FlexAccess available but not utilized (e.g. Member PA had a zero dollar patient pay set up).
Blank – FlexAccess not available on the claim.",A,1,4473,4473,0,0,,,
